,Name,MS Price,Model #,eBay Min,eBay Max,eBay Average,Margin (%),# Listings
0,ASUS ROG Strix G GL531GT-RS73 Gaming Laptop,699.0,GL531GT-RS73,918.75,918.75,918.75,23.918367346938776,1
1,Acer Swift 3 SF314-55 Laptop,799.0,SF314-55-58P9,999.0,999.0,999.0,20.02002002002002,1
2,Surface Go 2,399.99,.,275.0,849.99,480.07916666666665,16.682491602947426,12
3,Samsung Galaxy Book S,899.99,SM-W767NZAAXSA,993.88,993.88,993.88,9.446814504769186,1
4,HP ENVY x360 Convertible 15-dr1058ms 2-in-1 PC,659.0,15-dr1058ms,.,.,.,0.0,0
5,HP ENVY x360 Convertible 15-dr1072ms 2-in-1 PC,759.0,5-dr1072ms,.,.,.,0.0,0
6,"Lenovo IdeaPad 5 15"" 81YK00CGUS Laptop",599.0,81YK00CGUS,599.0,599.0,599.0,0.0,1
7,Samsung Notebook 9 Pro,949.0,NP930MBE-K05US,.,.,.,0.0,0
8,Lenovo IdeaPad Flex 5 14 81X20002US 2-in-1 PC,669.0,81X20002US,.,.,.,0.0,0
9,Lenovo IdeaPad S740 15 Laptop,1299.99,81NW0000US,.,.,.,0.0,0
10,Razer Blade Stealth 13 Full HD Gaming Laptop (10th Gen Intel Core i7),1499.99,RZ09-03101,.,.,.,0.0,0
11,Acer Predator Triton 500 PT515-51-75BH Gaming Laptop,1659.99,PT515-51-75BH,.,.,.,0.0,0
12,MAINGEAR ELEMENT Gaming Laptop,1799.0,MG-ELMT001-2070,.,.,.,0.0,0
13,Lenovo ThinkCentre M920z 10S60042US All-in-One PC,999.0,10S60042US,.,.,.,0.0,0
14,Asus ZenBook 14 UX434FL-UB76T Laptop,1249.0,UX434FL-UB76T,.,.,.,0.0,0
15,Acer TravelMate P6 NX.VKLAA.001 Laptop,1199.0,NX.VKLAA.001,.,.,.,0.0,0
16,Acer TravelMate X3 NX.VHJAA.004 Laptop,799.0,NX.VHJAA.004,.,.,.,0.0,0
17,Acer Spin 5 NX.GR7AA.015 2-in-1 PC,899.0,NX.GR7AA.015,.,.,.,0.0,0
18,Razer Blade Pro 17 Gaming Laptop 2019 - Intel Core i7- 9750H 6 Core,2499.99,RZ09-02876E92-R3U1,.,.,.,0.0,0
19,Lenovo Ideapad L340 81LK000HUS Gaming Laptop,699.0,81LK000HUS,.,.,.,0.0,0
20,HoloLens 2,3500.0,.,.,.,.,0.0,0
21,Surface Book 3 for Business,1699.99,.,.,.,.,0.0,0
22,Surface Pro X for Business,1099.99,.,.,.,.,0.0,0
23,Surface Laptop 3 for Business,1099.99,.,.,.,.,0.0,0
24,Surface Laptop 2 for Business,1399.0,.,.,.,.,0.0,0
25,Surface Pro 6 for Business,999.0,.,.,.,.,0.0,0
26,Surface Studio 2 for Business,3499.99,.,.,.,.,0.0,0
27,Surface Book 2 for Business,1499.99,.,.,.,.,0.0,0
28,"Wacom MobileStudio Pro 13"" Creative Pen All-in-One PC",2599.95,DTHW1321HK0A,.,.,.,0.0,0
29,"Wacom MobileStudio Pro 16"" Creative Pen All-in-One PC",3499.95,DTHW1621HK0A,.,.,.,0.0,0
30,ASUS VivoBook Flip TP412FA-XB55T 2-in-1 PC,749.0,TP412FA-XB55T,.,.,.,0.0,0
31,HP EliteBook 745 G6 7RR36UT#ABA Laptop,1199.0,7RR36UT#ABA,.,.,.,0.0,0
32,Lenovo ThinkBook Plus 20TG000MUS Laptop,1299.0,.,.,.,.,0.0,0
33,ASUS ROG Zephyrus Duo 15 GX550LWS-XS79 Gaming Laptop,2999.99,GX550LWS-XS79,.,.,.,0.0,0
34,ASUS ROG Zephyrus Duo 15 GX550LXS-XS99 Gaming Laptop,3699.99,GX550LXS-XS99,.,.,.,0.0,0
35,MSI GS75 Stealth Gaming Laptop,2099.0,GS75237,.,.,.,0.0,0
36,Dell Inspiron 14 5481 (2-in-1) Touch Laptop i3481-3236GRY-PUS,449.0,.,.,.,.,0.0,0
37,MSI Trident X Plus 9SE-062US Gaming PC,2499.0,9SE-062US,.,.,.,0.0,0
38,Razer Blade 15 Gaming Laptop,2599.99,.,.,.,.,0.0,0
39,Dell Vostro 5000 5581 Laptop,949.0,v5581-5612GRY-PUS,.,.,.,0.0,0
40,Dell Vostro 3000 3583 Laptop,529.0,v3583-3643BLK-PUS,.,.,.,0.0,0
41,Dell XPS 15 7590 Laptop,2499.0,XPS7590-7701SLV-PUS,.,.,.,0.0,0
42,Lenovo Flex 14 2-in-1 PC,599.99,81XG0000US,19.99,749.99,524.9925000000001,-14.285442172983412,4
43,HP OMEN Obelisk Gaming Desktop,999.99,875-0142,870.0,870.0,870.0,-14.94137931034483,1
44,Surface Go for Business,449.99,.,305.0,520.0,383.5,-17.33767926988266,6
45,Acer Spin 5 SP513-53N 2-in-1 PC,949.0,SP513-53N-70KD,804.99,804.99,804.99,-17.88966322563013,1
46,Asus Zenbook S UX392FN-XS77 Laptop,1299.0,UX392FN-XS77,999.0,999.0,999.0,-30.03003003003003,1
47,HP 250 G7 Notebook,599.0,5YN09UT,24.61,689.95,451.2844444444445,-32.73225066230708,9
48,Surface Laptop 3,979.0,.,499.99,941.0,735.9626666666666,-33.02305189393667,15
49,ASUS TUF FX505DT-UB52 Gaming Laptop,499.0,FX505DT-UB52,118.88,619.99,369.435,-35.071122118911305,2
50,Surface Book 3,1399.99,.,399.99,941.0,730.1187499999999,-91.74826012891742,8
51,Lenovo IdeaPad S540-14API Notebook,799.0,S540-14API,7.51,897.03,304.01666666666665,-162.81453867660764,3
52,Samsung Galaxy Book Ion 15 NP950XCJ-K01US Laptop,1149.0,NP950XCJ-K01US,19.99,799.0,409.495,-180.58950658738203,2
53,Samsung Notebook 9 Pro 15 NP940X5N-X01US Laptop,999.0,NP940X5N-X01US,14.99,899.99,278.695909090909,-258.4552077777833,22
54,Surface Pro X,849.99,.,4.95,839.97,99.96888888888884,-750.2545236295741,45
55,iBUYPOWER Trace PRO9500 Gaming Desktop,1149.0,PRO9500,3.99,399.95,89.94859999999993,-1177.3962018308246,50
56,Asus ROG Strix G GL531GT-UB74 Gaming PC,1099.0,GL531GT-UB74,78.99,78.99,78.99,-1291.3153563742246,1
57,Surface Go 2 for Business,449.99,.,15.79,16.49,16.069999999999997,-2700.1866832607348,5
58,Lenovo IdeaPad S940-14IWL Notebook,1199.0,S940-14IWL,23.29,34.99,29.14,-4014.61908030199,2
59,Surface Pro 7 for Business,999.99,.,19.49,22.59,21.04,-4652.804182509506,2
60,Samsung Galaxy Book Ion 13 NP930XCJ-K01US Laptop,1049.0,NP930XCJ-K01US,19.99,19.99,19.99,-5147.623811905953,1
