Name                                                                     MS Price  Model #              eBay Min    eBay Max    eBay Average          Margin (%)    # Listings
---------------------------------------------------------------------  ----------  -------------------  ----------  ----------  ------------------  ------------  ------------
ASUS ROG Strix G GL531GT-RS73 Gaming Laptop                                699     GL531GT-RS73         918.75      918.75      918.75                  23.9184              1
Acer Swift 3 SF314-55 Laptop                                               799     SF314-55-58P9        999.0       999.0       999.0                   20.02                1
Surface Pro X                                                              849.99  .                    993.88      993.88      993.88                  14.4776              1
Samsung Galaxy Book S                                                      899.99  SM-W767NZAAXSA       993.88      993.88      993.88                   9.44681             1
Surface Laptop 3                                                           979     .                    993.88      993.88      993.88                   1.49716             1
HP ENVY x360 Convertible 15-dr1058ms 2-in-1 PC                             659     15-dr1058ms          .           .           .                        0                   0
HP ENVY x360 Convertible 15-dr1072ms 2-in-1 PC                             759     5-dr1072ms           .           .           .                        0                   0
Lenovo IdeaPad 5 15" 81YK00CGUS Laptop                                     599     81YK00CGUS           599.0       599.0       599.0                    0                   1
Samsung Notebook 9 Pro                                                     949     NP930MBE-K05US       .           .           .                        0                   0
Lenovo IdeaPad Flex 5 14 81X20002US 2-in-1 PC                              669     81X20002US           .           .           .                        0                   0
Lenovo IdeaPad S740 15 Laptop                                             1299.99  81NW0000US           .           .           .                        0                   0
Razer Blade Stealth 13 Full HD Gaming Laptop (10th Gen Intel Core i7)     1499.99  RZ09-03101           .           .           .                        0                   0
Acer Predator Triton 500 PT515-51-75BH Gaming Laptop                      1659.99  PT515-51-75BH        .           .           .                        0                   0
MAINGEAR ELEMENT Gaming Laptop                                            1799     MG-ELMT001-2070      .           .           .                        0                   0
Lenovo ThinkCentre M920z 10S60042US All-in-One PC                          999     10S60042US           .           .           .                        0                   0
Asus ZenBook 14 UX434FL-UB76T Laptop                                      1249     UX434FL-UB76T        .           .           .                        0                   0
Acer TravelMate P6 NX.VKLAA.001 Laptop                                    1199     NX.VKLAA.001         .           .           .                        0                   0
Acer TravelMate X3 NX.VHJAA.004 Laptop                                     799     NX.VHJAA.004         .           .           .                        0                   0
Acer Spin 5 NX.GR7AA.015 2-in-1 PC                                         899     NX.GR7AA.015         .           .           .                        0                   0
Razer Blade Pro 17 Gaming Laptop 2019 - Intel Core i7- 9750H 6 Core       2499.99  RZ09-02876E92-R3U1   .           .           .                        0                   0
Lenovo Ideapad L340 81LK000HUS Gaming Laptop                               699     81LK000HUS           .           .           .                        0                   0
HoloLens 2                                                                3500     .                    .           .           .                        0                   0
Surface Book 3 for Business                                               1699.99  .                    .           .           .                        0                   0
Surface Go 2 for Business                                                  449.99  .                    .           .           .                        0                   0
Surface Pro X for Business                                                1099.99  .                    .           .           .                        0                   0
Surface Pro 7 for Business                                                 999.99  .                    .           .           .                        0                   0
Surface Laptop 3 for Business                                             1099.99  .                    .           .           .                        0                   0
Surface Laptop 2 for Business                                             1399     .                    .           .           .                        0                   0
Surface Pro 6 for Business                                                 999     .                    .           .           .                        0                   0
Surface Studio 2 for Business                                             3499.99  .                    .           .           .                        0                   0
Surface Book 2 for Business                                               1499.99  .                    .           .           .                        0                   0
Surface Go for Business                                                    449.99  .                    .           .           .                        0                   0
Wacom MobileStudio Pro 13" Creative Pen All-in-One PC                     2599.95  DTHW1321HK0A         .           .           .                        0                   0
Wacom MobileStudio Pro 16" Creative Pen All-in-One PC                     3499.95  DTHW1621HK0A         .           .           .                        0                   0
ASUS VivoBook Flip TP412FA-XB55T 2-in-1 PC                                 749     TP412FA-XB55T        .           .           .                        0                   0
HP EliteBook 745 G6 7RR36UT#ABA Laptop                                    1199     7RR36UT#ABA          .           .           .                        0                   0
Lenovo ThinkBook Plus 20TG000MUS Laptop                                   1299     .                    .           .           .                        0                   0
ASUS ROG Zephyrus Duo 15 GX550LWS-XS79 Gaming Laptop                      2999.99  GX550LWS-XS79        .           .           .                        0                   0
ASUS ROG Zephyrus Duo 15 GX550LXS-XS99 Gaming Laptop                      3699.99  GX550LXS-XS99        .           .           .                        0                   0
MSI GS75 Stealth Gaming Laptop                                            2099     GS75237              .           .           .                        0                   0
Dell Inspiron 14 5481 (2-in-1) Touch Laptop i3481-3236GRY-PUS              449     .                    .           .           .                        0                   0
MSI Trident X Plus 9SE-062US Gaming PC                                    2499     9SE-062US            .           .           .                        0                   0
Razer Blade 15 Gaming Laptop                                              2599.99  .                    .           .           .                        0                   0
Dell Vostro 5000 5581 Laptop                                               949     v5581-5612GRY-PUS    .           .           .                        0                   0
Dell Vostro 3000 3583 Laptop                                               529     v3583-3643BLK-PUS    .           .           .                        0                   0
Dell XPS 15 7590 Laptop                                                   2499     XPS7590-7701SLV-PUS  .           .           .                        0                   0
